carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.91,4,3,2,63.4,57.0,6.1,6.18,3.89,3440.6
0.38,3,5,4,60.3,61.0,4.68,4.71,2.83,1238.8
0.52,2,3,4,61.8,56.0,5.19,5.16,3.2,1482.0
1.1,2,4,5,61.3,56.0,6.65,6.69,4.09,7836.6
2.28,2,4,2,61.6,57.0,8.44,8.37,5.18,14696.2
2.01,4,1,4,60.8,58.0,8.08,8.16,4.94,14244.0
1.06,2,4,2,62.2,57.0,6.51,6.49,4.04,4438.8
0.7,5,6,3,60.1,58.0,5.81,5.83,3.5,2754.6
0.73,5,2,4,59.7,59.0,5.94,5.81,3.51,2416.8
0.73,2,3,8,61.6,55.0,5.8,5.82,3.58,2762.4
1.0,3,7,4,64.1,58.0,6.24,6.33,4.03,5743.4
0.33,2,4,6,60.1,57.0,4.48,4.51,2.7,963.2
0.54,2,1,6,61.6,57.0,5.25,5.23,3.23,1730.2
0.33,2,7,4,61.9,53.0,4.49,4.46,2.77,836.0
0.51,1,7,4,64.4,54.0,5.06,5.03,3.25,1858.2
0.51,2,6,3,62.4,55.0,5.09,5.14,3.19,1611.0
0.3,3,2,3,63.2,55.0,4.25,4.29,2.7,620.2
2.66,3,3,2,64.3,60.0,8.71,8.65,5.58,15615.2
0.92,5,5,3,61.8,59.0,6.21,6.25,3.85,4715.4
0.3,2,4,8,62.2,55.0,4.3,4.32,2.68,817.0
1.0,4,3,3,62.0,54.0,6.43,6.47,4.0,4777.2
0.34,4,5,5,61.1,57.0,4.51,4.54,2.76,712.0
1.01,4,5,2,62.4,58.0,6.37,6.41,3.99,4131.4
0.87,2,5,5,62.0,55.0,6.1,6.13,3.79,3736.2
1.26,5,7,2,61.9,58.0,6.88,6.81,4.24,5468.6
0.38,5,6,5,60.2,58.0,4.66,4.71,2.82,1049.4
0.55,2,5,6,62.3,54.0,5.29,5.27,3.29,2327.6
0.65,5,4,3,61.9,58.0,5.54,5.51,3.42,1889.8
0.41,5,7,6,62.2,58.0,4.8,4.78,2.98,1094.6
0.7,4,2,1,63.2,59.0,5.62,5.59,3.54,1515.2
1.03,4,2,5,62.9,53.0,6.45,6.5,4.07,5112.4
0.34,2,5,6,61.3,56.0,4.52,4.56,2.78,917.4
0.73,2,2,7,61.7,53.0,5.8,5.84,3.59,2192.8
0.83,2,7,2,62.1,56.0,6.0,6.04,3.74,3888.2
0.51,4,4,3,63.0,53.0,5.1,5.13,3.22,1279.6
1.06,2,6,4,61.3,57.0,6.54,6.57,4.02,7766.0
0.41,2,7,5,61.8,57.0,4.75,4.8,2.95,1145.4
1.03,2,5,4,60.4,56.0,6.59,6.56,3.97,6709.2
0.32,2,7,3,61.3,55.0,4.41,4.46,2.72,642.6
0.3,5,1,5,62.6,58.0,4.32,4.27,2.69,582.4
0.32,4,7,6,60.1,58.0,4.41,4.44,2.66,1111.8
0.33,2,4,5,61.7,56.0,4.44,4.47,2.75,758.6
0.25,2,4,5,62.7,54.0,4.05,4.08,2.55,692.8
0.3,2,5,5,61.0,56.0,4.37,4.35,2.66,735.4
1.26,4,5,8,60.0,60.0,7.04,7.09,4.24,12799.0
1.14,2,1,5,61.6,56.0,6.71,6.73,4.14,5659.0
1.51,5,3,3,62.8,60.0,7.22,7.14,4.51,8669.6
0.51,4,6,2,62.0,57.0,5.09,5.13,3.17,1382.6
0.32,2,4,8,61.0,57.0,4.44,4.48,2.72,897.8
0.94,5,6,2,60.4,59.0,6.37,6.34,3.84,3963.4
0.51,5,6,4,60.6,58.0,5.15,5.12,3.11,1758.6
1.12,2,3,2,61.4,56.0,6.69,6.66,4.1,4781.2
1.33,5,4,2,60.3,58.0,7.19,7.16,4.33,5818.0
0.32,5,3,4,61.7,59.0,4.35,4.4,2.7,626.6
0.7,2,6,4,62.6,57.0,5.63,5.68,3.54,2962.6
1.35,2,3,7,61.9,57.0,7.06,7.09,4.38,10648.0
0.23,3,5,4,63.8,57.0,3.93,3.84,2.48,615.4
0.9,4,5,1,61.9,59.0,6.16,6.18,3.82,3745.0
1.03,2,7,3,61.3,56.0,6.48,6.54,3.99,6299.4
1.02,3,6,2,62.8,64.0,6.36,6.32,3.98,3625.0
0.55,2,3,6,61.7,57.0,5.28,5.26,3.25,1383.8
0.34,2,6,8,61.7,56.0,4.46,4.48,2.76,1140.2
0.71,5,7,6,60.0,58.0,5.92,5.84,3.53,4932.0
0.55,3,4,3,63.6,61.0,5.22,5.16,3.3,1572.6
0.54,2,4,4,61.5,55.0,5.24,5.27,3.23,1749.0
1.23,2,3,8,61.3,57.0,6.87,6.92,4.23,9754.4
0.27,5,6,7,60.6,58.0,4.18,4.2,2.54,807.2
0.53,2,7,4,61.4,56.0,5.18,5.21,3.19,1843.2
1.25,2,4,2,61.1,55.0,6.95,6.99,4.26,5543.8
0.34,2,6,6,62.3,57.0,4.48,4.44,2.78,747.0
0.36,5,2,4,62.7,59.0,4.54,4.58,2.86,594.0
0.34,2,4,3,61.2,57.0,4.56,4.53,2.78,562.0
1.12,3,6,3,64.3,57.0,6.56,6.5,4.2,4896.8
0.3,2,3,5,61.6,55.0,4.27,4.3,2.64,642.6
0.36,2,7,3,62.0,56.0,4.61,4.55,2.84,734.2
0.71,2,5,7,61.1,54.0,5.78,5.84,3.55,3613.0
0.32,5,4,4,62.6,60.0,4.33,4.36,2.72,647.4
0.5,5,6,4,61.3,60.0,5.11,5.07,3.12,1418.8
0.51,4,6,3,63.3,59.0,5.09,5.05,3.21,1002.0
0.58,2,1,5,61.9,58.0,5.31,5.35,3.3,1418.4
0.3,2,5,8,62.5,54.0,4.31,4.33,2.7,942.6
0.39,2,4,7,62.3,57.0,4.7,4.64,2.91,1080.0
0.31,2,5,4,61.8,56.0,4.37,4.33,2.69,644.8
0.9,4,3,5,60.5,63.0,6.13,6.16,3.72,3703.8
0.81,5,4,2,61.7,57.0,5.99,5.94,3.68,2793.6
0.7,5,6,2,61.1,61.0,5.74,5.69,3.49,1933.4
0.38,4,1,4,60.5,60.0,4.64,4.68,2.82,692.4
0.71,4,4,3,60.0,59.0,5.76,5.8,3.47,2054.2
0.71,4,7,4,63.1,58.0,5.67,5.7,3.59,2981.2
0.9,4,3,5,62.1,59.0,6.09,6.14,3.8,5007.2
0.74,4,5,2,63.2,58.0,5.75,5.71,3.62,2205.6
1.5,5,3,4,62.4,59.0,7.32,7.29,4.56,9412.6
1.5,4,5,3,63.0,55.0,7.27,7.31,4.59,10503.2
0.42,2,5,5,61.0,57.0,4.87,4.84,2.96,1003.4
1.01,5,4,4,61.6,58.0,6.45,6.4,3.96,6187.2
2.48,5,2,2,63.0,62.0,8.62,8.58,5.42,15057.2
1.02,2,5,6,61.1,56.3,6.48,6.52,3.97,9145.8
0.4,2,7,4,61.3,57.0,4.77,4.75,2.92,951.8
0.7,2,5,3,61.3,57.0,5.76,5.79,3.54,2571.2
1.01,3,6,4,62.5,58.0,6.32,6.36,3.96,4895.6
1.13,4,2,4,60.7,58.0,6.72,6.75,4.09,5882.6
1.09,2,2,4,61.9,56.0,6.62,6.67,4.09,4624.8
0.7,4,6,4,62.7,58.0,5.65,5.67,3.55,3173.6
1.0,5,5,3,60.8,59.0,6.44,6.38,3.9,5141.0
1.52,2,3,4,61.8,54.0,7.42,7.43,4.59,12600.2
0.41,2,4,6,62.2,56.0,4.75,4.8,2.97,961.4
0.43,4,1,4,60.9,59.0,4.86,4.9,2.97,764.4
0.31,4,6,2,60.8,61.0,4.39,4.43,2.68,554.0
0.33,2,4,4,62.2,56.0,4.47,4.44,2.77,628.6
0.7,5,6,4,61.0,59.0,5.74,5.7,3.49,2771.4
0.33,2,4,6,62.5,54.0,4.41,4.45,2.77,880.2
1.16,5,3,2,62.6,57.0,6.75,6.67,4.2,4439.2
0.51,2,6,4,61.8,57.0,5.15,5.14,3.18,1701.2
1.13,3,4,1,63.4,58.0,6.58,6.61,4.18,3936.8
0.52,5,6,4,62.5,60.0,5.1,5.14,3.2,1673.6
0.23,4,5,6,61.4,56.0,3.94,3.97,2.43,633.4
0.5,1,5,3,64.7,60.0,4.99,4.84,3.18,1770.2
1.08,4,7,5,60.5,58.0,6.53,6.63,3.98,8034.4
0.3,5,4,5,62.2,59.0,4.31,4.28,2.67,722.0
0.48,2,1,5,62.2,54.0,5.01,5.06,3.13,787.2
1.51,2,1,5,61.6,58.0,7.35,7.43,4.55,8770.8
1.03,5,5,2,62.4,59.0,6.45,6.38,4.0,4192.8
0.31,4,4,6,63.4,59.0,4.29,4.26,2.71,820.2
0.4,2,4,8,62.3,55.0,4.74,4.76,2.96,1271.0
1.03,2,6,4,61.7,56.0,6.45,6.54,4.01,7613.4
1.16,5,1,3,62.5,58.0,6.73,6.67,4.19,4589.4
1.04,4,1,2,62.8,57.0,6.44,6.5,4.06,3794.6
0.71,5,6,4,61.5,60.0,5.76,5.68,3.52,2490.0
0.29,4,3,6,61.2,56.0,4.26,4.29,2.61,551.6
1.09,2,4,2,61.2,57.0,6.68,6.63,4.07,4527.4
0.74,2,5,5,62.3,56.0,5.76,5.79,3.6,3201.4
0.42,2,7,4,62.4,55.0,4.82,4.8,3.0,915.2
0.54,2,2,3,62.0,55.0,5.21,5.25,3.24,1176.4
0.51,2,6,4,62.6,55.0,5.08,5.11,3.19,1645.6
1.01,5,5,2,58.8,61.0,6.53,6.46,3.82,3921.8
1.0,5,3,4,59.4,61.0,6.51,6.46,3.85,4346.6
1.02,5,3,4,61.0,60.0,6.5,6.46,3.95,4640.0
0.73,3,6,5,60.8,61.0,5.77,5.8,3.52,2600.4
1.01,5,3,2,60.3,59.0,6.51,6.45,3.91,3489.4
0.33,3,7,3,63.1,55.0,4.38,4.4,2.77,581.0
1.22,2,5,5,62.3,57.0,6.79,6.83,4.24,8708.4
0.31,2,7,5,62.0,54.0,4.35,4.36,2.7,798.6
1.07,5,4,3,60.5,62.0,6.69,6.6,4.02,4317.0
1.01,4,6,6,60.2,60.0,6.46,6.5,3.9,7897.2
0.23,4,5,8,59.5,58.0,4.0,4.03,2.39,1024.8
0.35,4,7,5,60.9,58.0,4.54,4.56,2.77,781.0
0.55,2,5,6,60.7,56.0,5.31,5.34,3.23,2449.4
0.9,2,4,3,61.9,59.0,6.16,6.19,3.82,4224.0
